time_ns,din_low,din_high,dout_merged
6586,  8090, -1545,  6902
6596,  5877,  1545,  8774
6606,  3090,  4045,  9826
6616,     0,  5000,  9931
6626, -3090,  4045,  9049
6636, -5877,  1545,  7241
6646, -8090, -1545,  4677
6656, -9510, -4045,  1616
6666,-10000, -5000, -1618
6676, -9510, -4045, -4679
6686, -8090, -1545, -7243
6696, -5877,  1545, -9051
6706, -3090,  4045, -9933
6716,     0,  5000, -9828
6726,  3090,  4045, -8776
6736,  5877,  1545, -6904
6746,  8090, -1545, -4404
6756,  9510, -4045, -1513
6766, 10000, -5000,  1511
6776,  9510, -4045,  4402
6786,  8090, -1545,  6902
6796,  5877,  1545,  8774
6806,  3090,  4045,  9826
6816,     0,  5000,  9931
6826, -3090,  4045,  9049
6836, -5877,  1545,  7241
6846, -8090, -1545,  4677
6856, -9510, -4045,  1616
6866,-10000, -5000, -1618
6876, -9510, -4045, -4679
6886, -8090, -1545, -7243
6896, -5877,  1545, -9051
6906, -3090,  4045, -9933
6916,     0,  5000, -9828
6926,  3090,  4045, -8776
6936,  5877,  1545, -6904
6946,  8090, -1545, -4404
6956,  9510, -4045, -1513
6966, 10000, -5000,  1511
6976,  9510, -4045,  4402
6986,  8090, -1545,  6902
6996,  5877,  1545,  8774
7006,  3090,  4045,  9826
7016,     0,  5000,  9931
7026, -3090,  4045,  9049
7036, -5877,  1545,  7241
7046, -8090, -1545,  4677
7056, -9510, -4045,  1616
7066,-10000, -5000, -1618
7076, -9510, -4045, -4679
7086, -8090, -1545, -7243
7096, -5877,  1545, -9051
7106, -3090,  4045, -9933
7116,     0,  5000, -9828
7126,  3090,  4045, -8776
7136,  5877,  1545, -6904
7146,  8090, -1545, -4404
7156,  9510, -4045, -1513
7166, 10000, -5000,  1511
7176,  9510, -4045,  4402
7186,  8090, -1545,  6902
7196,  5877,  1545,  8774
7206,  3090,  4045,  9826
7216,     0,  5000,  9931
7226, -3090,  4045,  9049
7236, -5877,  1545,  7241
7246, -8090, -1545,  4677
7256, -9510, -4045,  1616
7266,-10000, -5000, -1618
7276, -9510, -4045, -4679
7286, -8090, -1545, -7243
7296, -5877,  1545, -9051
7306, -3090,  4045, -9933
7316,     0,  5000, -9828
7326,  3090,  4045, -8776
7336,  5877,  1545, -6904
7346,  8090, -1545, -4404
7356,  9510, -4045, -1513
7366, 10000, -5000,  1511
7376,  9510, -4045,  4402
7386,  8090, -1545,  6902
7396,  5877,  1545,  8774
7406,  3090,  4045,  9826
7416,     0,  5000,  9931
7426, -3090,  4045,  9049
7436, -5877,  1545,  7241
7446, -8090, -1545,  4677
7456, -9510, -4045,  1616
7466,-10000, -5000, -1618
7476, -9510, -4045, -4679
7486, -8090, -1545, -7243
7496, -5877,  1545, -9051
7506, -3090,  4045, -9933
7516,     0,  5000, -9828
7526,  3090,  4045, -8776
7536,  5877,  1545, -6904
7546,  8090, -1545, -4404
7556,  9510, -4045, -1513
7566, 10000, -5000,  1511
7576,  9510, -4045,  4402
7586,  8090, -1545,  6902
7596,  5877,  1545,  8774
7606,  3090,  4045,  9826
7616,     0,  5000,  9931
7626, -3090,  4045,  9049
7636, -5877,  1545,  7241
7646, -8090, -1545,  4677
7656, -9510, -4045,  1616
7666,-10000, -5000, -1618
7676, -9510, -4045, -4679
7686, -8090, -1545, -7243
7696, -5877,  1545, -9051
7706, -3090,  4045, -9933
7716,     0,  5000, -9828
7726,  3090,  4045, -8776
7736,  5877,  1545, -6904
7746,  8090, -1545, -4404
7756,  9510, -4045, -1513
7766, 10000, -5000,  1511
7776,  9510, -4045,  4402
7786,  8090, -1545,  6902
7796,  5877,  1545,  8774
7806,  3090,  4045,  9826
7816,     0,  5000,  9931
7826, -3090,  4045,  9049
7836, -5877,  1545,  7241
7846, -8090, -1545,  4677
7856, -9510, -4045,  1616
7866,-10000, -5000, -1618
7876, -9510, -4045, -4679
7886, -8090, -1545, -7243
7896, -5877,  1545, -9051
7906, -3090,  4045, -9933
7916,     0,  5000, -9828
7926,  3090,  4045, -8776
7936,  5877,  1545, -6904
7946,  8090, -1545, -4404
7956,  9510, -4045, -1513
7966, 10000, -5000,  1511
7976,  9510, -4045,  4402
7986,  8090, -1545,  6902
7996,  5877,  1545,  8774
8006,  3090,  4045,  9826
8016,     0,  5000,  9931
8026, -3090,  4045,  9049
8036, -5877,  1545,  7241
8046, -8090, -1545,  4677
8056, -9510, -4045,  1616
8066,-10000, -5000, -1618
8076, -9510, -4045, -4679
8086, -8090, -1545, -7243
8096, -5877,  1545, -9051
8106, -3090,  4045, -9933
8116,     0,  5000, -9828
